announced_at,symbol,category_raw,bucket,subject,entry_bar_ts_utc,news_published_at,news_headline,t+5min,t+15min,t+30min,t+60min,t+240min,EOD_close,next_day_close
2026-05-12T08:30:29.000Z,SBIN,Outcome of Board Meeting,board_meeting,"State Bank Of India has informed the Exchange regarding Outcome of Board Meeting held on May 12, 2026.",2026-05-12T08:35:00.000Z,2026-05-12T04:46:02.000Z,India’s economy is projected to grow by 6.6% in FY27: SBI Research Report - IBEF,-0.000605,0.000429,0.001935,0.003613,0.002775,0.004239,-0.005262
2026-05-14T06:23:03.000Z,MARUTI,General Updates,financial_results,Maruti Suzuki India Limited has informed the Exchange about Consolidated financial results issued by Suzuki Motor Corporation in Japan,2026-05-14T06:25:00.000Z,2026-05-13T17:58:42.000Z,Meet The Startups From 10th Cohort Of Maruti Suzuki’s Accelerator Initiative,-0.001321,-0.001801,0.001112,0.002106,0.005714,-0.001077,0.014823
2026-05-14T06:23:07.000Z,M&M,General Updates,acquisition,Sale of remaining stake in CIE Automotive S.A by Mahindra Overseas Investment Company (Mauritius) Limited,2026-05-14T06:25:00.000Z,2026-05-15T03:26:18.000Z,Can Adani do for apples what Mahindra did for grapes? - The Ken,-0.000977,-0.000829,0.000706,0.000131,-0.000033,0.006324,-0.013830
2026-05-14T07:15:58.000Z,BHARTIARTL,General Updates,financial_results,"Bharti Airtel Limited has informed the Exchange about Publication of Newspaper advertisements  w.r.t. Audited Financial Results for the fourth quarter (Q4) and year ended March 31, 2026",2026-05-14T07:20:00.000Z,2026-05-14T10:06:18.000Z,"Top Gainers & Losers on May 14: NLC India, Cipla, Bharti Airtel, Vedanta, MCX, BSE, Berger Paints among top gainers - Mint",0.003110,0.009017,0.009150,0.009025,0.029060,0.013227,0.013449
2026-05-20T09:07:37.000Z,GRASIM,Outcome of Board Meeting,board_meeting|financial_results|dividend,Audited Financial Results (Standalone & Consolidated) and recommendation of final Dividend for the year ended 31st March 2026 and appointment of Joint Statutory Auditor of the Company,2026-05-20T09:10:00.000Z,2026-05-20T09:27:43.000Z,"Q4 Results Today Live: Grasim narrows loss in Q4, Samvardhana Motherson con. profit up, Ola Electric, Honeywell Automation, Apollo, Bosch, Lenskart, Jubilant Foodworks, Medplus to announce Q4 results",-0.006547,0.000642,0.002768,0.027256,0.047980,0.002676,0.062930
2026-05-20T09:09:49.000Z,GRASIM,General Updates,acquisition,Acquisition of equity stake in Special Purpose Vehicles,2026-05-20T09:10:00.000Z,2026-05-20T09:27:43.000Z,"Q4 Results Today Live: Grasim narrows loss in Q4, Samvardhana Motherson con. profit up, Ola Electric, Honeywell Automation, Apollo, Bosch, Lenskart, Jubilant Foodworks, Medplus to announce Q4 results",-0.006547,0.000642,0.002768,0.027256,0.047980,0.002676,0.062930
2026-05-20T09:12:32.000Z,GRASIM,Dividend,dividend,Recommended Dividend for the year ended 31st March 2026,2026-05-20T09:15:00.000Z,2026-05-20T09:27:43.000Z,"Q4 Results Today Live: Grasim narrows loss in Q4, Samvardhana Motherson con. profit up, Ola Electric, Honeywell Automation, Apollo, Bosch, Lenskart, Jubilant Foodworks, Medplus to announce Q4 results",0.004947,0.009193,0.010098,0.038170,0.056015,0.009223,0.062930
2026-05-20T09:15:05.000Z,GRASIM,Outcome of Board Meeting,board_meeting,Appointment of Joint Statutory Auditor of the Company,2026-05-20T09:20:00.000Z,2026-05-20T09:27:43.000Z,"Q4 Results Today Live: Grasim narrows loss in Q4, Samvardhana Motherson con. profit up, Ola Electric, Honeywell Automation, Apollo, Bosch, Lenskart, Jubilant Foodworks, Medplus to announce Q4 results",0.002242,0.002902,0.008034,0.031976,0.051803,0.004275,0.062930
2026-05-20T09:19:55.000Z,GRASIM,Press Release,financial_results,Press release on the Audited Financial Results (Standalone & Consolidated) for the year ended 31st March 2026,2026-05-20T09:20:00.000Z,2026-05-20T09:27:43.000Z,"Q4 Results Today Live: Grasim narrows loss in Q4, Samvardhana Motherson con. profit up, Ola Electric, Honeywell Automation, Apollo, Bosch, Lenskart, Jubilant Foodworks, Medplus to announce Q4 results",0.002242,0.002902,0.008034,0.031976,0.051803,0.004275,0.062930
2026-05-21T08:11:34.000Z,APOLLOHOSP,General Updates,board_meeting,Apollo Hospitals Enterprise Limited has informed the Exchange about General Updates - Update on Board Meeting,2026-05-21T08:15:00.000Z,2026-05-21T04:53:44.000Z,"Q4 Results Today Live: LIC, ITC, Max Healthcare, LG Electronics, GAIL, Aurobindo Pharma, Welspun Corp, Sun TV, JSW Cement, Dr Agarwals, Honasa Consumer, RPower, WeWork to announce Q4 results, Grasim Industries, Honeywell, Apollo Hospitals, Lenskart, Samvardhana shares zoom post Q4 results",0.001569,0.002439,0.002846,0.000800,0.008006,0.002115,0.003502
2026-05-21T09:52:20.000Z,ITC,Outcome of Board Meeting,board_meeting|financial_results,"ITC Limited has submitted to the Exchange, the financial results for the period ended March 31, 2026.",2026-05-21T09:55:00.000Z,2026-05-21T10:06:07.000Z,"Q4 Results Today Live: ITC Q4 profit tumbles, JSW Cement & WeWork profit up, Emami profit declines, LIC, Max Healthcare, LG Electronics, GAIL, Aurobindo Pharma, Welspun Corp, Sun TV, Dr Agarwals, Honasa Consumer, RPower to announce Q4 results",-0.013330,-0.007372,-0.012062,-0.018618,-0.019604,0.000000,-0.022506
2026-05-21T09:53:51.000Z,ITC,Dividend,dividend,"ITC Limited has informed the Exchange that Board of Directors at its meeting held on May 21, 2026, recommended Final Dividend of Rs. 8 per equity share.",2026-05-21T09:55:00.000Z,2026-05-21T10:06:07.000Z,"Q4 Results Today Live: ITC Q4 profit tumbles, JSW Cement & WeWork profit up, Emami profit declines, LIC, Max Healthcare, LG Electronics, GAIL, Aurobindo Pharma, Welspun Corp, Sun TV, Dr Agarwals, Honasa Consumer, RPower to announce Q4 results",-0.013330,-0.007372,-0.012062,-0.018618,-0.019604,0.000000,-0.022506
2026-05-21T09:55:48.000Z,ITC,Dividend,dividend,"ITC Limited has informed the Exchange that Board of Directors at its meeting held on May 21, 2026, recommended Final Dividend of 8 per equity share.",2026-05-22T03:45:00.000Z,2026-05-21T10:06:07.000Z,"Q4 Results Today Live: ITC Q4 profit tumbles, JSW Cement & WeWork profit up, Emami profit declines, LIC, Max Healthcare, LG Electronics, GAIL, Aurobindo Pharma, Welspun Corp, Sun TV, Dr Agarwals, Honasa Consumer, RPower to announce Q4 results",0.004216,0.003636,0.000633,-0.004291,-0.005486,-0.009176,
2026-05-22T09:13:51.000Z,SUNPHARMA,Outcome of Board Meeting,board_meeting|financial_results,"Sun Pharmaceutical Industries Limited has submitted to the Exchange, the Audited Financial Results for the quarter and year ended 31 March 2026.",2026-05-22T09:15:00.000Z,2026-05-22T09:27:53.000Z,"Sensex today | Stock Market Live: Sensex drops day's gain, Nifty near 23,700; Max Health, Sun Pharma top losers",-0.008532,-0.007376,-0.006409,,,-0.005286,
2026-05-22T09:29:02.000Z,SUNPHARMA,General Updates,financial_results|dividend,Sun Pharmaceutical Industries Limited has informed the Exchange about Financial Results and Recommendation of Dividend for FY 2025-26,2026-05-22T09:30:00.000Z,2026-05-22T09:27:53.000Z,"Sensex today | Stock Market Live: Sensex drops day's gain, Nifty near 23,700; Max Health, Sun Pharma top losers",0.007620,0.000968,0.002090,,,0.002090,
2026-05-22T09:35:31.000Z,SUNPHARMA,Dividend,dividend,"Sun Pharmaceutical Industries Limited has informed the Exchange that Board of Directors at its meeting held on May 22, 2026, recommended Final Dividend of Rs. 5 per equity share.",2026-05-22T09:40:00.000Z,2026-05-22T09:33:51.000Z,"Q4 Results Today Live: Sun Pharma Q4 con. profit down q-o-q, Shilpa Medicare & Info Edge profit up, Hindalco, Eicher Motors, Torrent Pharma, NTPC Green, Fortis Healthcare, Colgate to announce Q4 results",-0.002850,-0.005470,,,,-0.001728,
