symbol,company_name,classification,recommended_action,fp_risk_rationale,english_word_match,prod_observed_fp,validated_against_master
ACE,Action Construction Equipment Limited,symbol_stoplist,drop_bare_symbol_alias,Common English word 'ace' triggers case-insensitive false matches in news,N,N,Y
ACEINTEG,Ace Integrated Solutions Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
ACI,Archean Chemical Industries Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
ACL,Andhra Cements Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
ACMESOLAR,Acme Solar Holdings Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
ACSTECH,ACS Technologies Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
ACUTAAS,Acutaas Chemicals Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
ADANIENSOL,Adani Energy Solutions Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
ADANIENT,Adani Enterprises Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
ADANIGREEN,Adani Green Energy Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
ADANIPORTS,Adani Ports and Special Economic Zone Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
ADANIPOWER,Adani Power Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
ADFFOODS,ADF Foods Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
ADL,Archidply Decor Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
ADOR,Ador Welding Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
ADROITINFO,Adroit Infotech Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
ADSL,Allied Digital Services Limited,symbol_stoplist,drop_bare_symbol_alias,Common English word 'adsl' triggers case-insensitive false matches in news,N,N,Y
ADVAIT,Advait Energy Transitions Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
ADVANCE,Advance Agrolife Limited,symbol_stoplist,drop_bare_symbol_alias,Common English word 'advance' triggers case-insensitive false matches in news,Y,N,Y
ADVANIHOTR,Advani Hotels & Resorts (India) Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
ADVENTHTL,Advent Hotels International Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
ADVENZYMES,Advanced Enzyme Technologies Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
AEGISLOG,Aegis Logistics Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
AEGISVOPAK,Aegis Vopak Terminals Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
AEPL,Artemis Electricals and Projects Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
AEQUS,Aequs Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
AEROENTER,Aeroflex Enterprises Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
AEROFLEX,Aeroflex Industries Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
AERONEU,Aeroflex Neu Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
AETHER,Aether Industries Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
AFCONS,Afcons Infrastructure Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
AFFLE,Affle 3i Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
AFFORDABLE,Affordable Robotic & Automation Limited,symbol_stoplist,drop_bare_symbol_alias,Common English word 'affordable' triggers case-insensitive false matches in news,N,N,Y
AFIL,Akme Fintrade (India) Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
AFSL,Abans Financial Services Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
AGARIND,Agarwal Industrial Corporation Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
AGARWALEYE,Dr. Agarwal's Health Care Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
AGI,AGI Greenpac Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
AGIIL,Agi Infra Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
AGRITECH,Agri-Tech (India) Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
AGROPHOS,Agro Phos India Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
AGSTRA,AGS Transact Technologies Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
AHCL,Anlon Healthcare Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
AHLADA,Ahlada Engineers Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
AHLEAST,Asian Hotels (East) Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
AHLUCONT,Ahluwalia Contracts (India) Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
AHLWEST,Asian Hotels (West) Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
AIAENG,AIA Engineering Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
AIIL,Authum Investment & Infrastructure Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
AIRAN,Airan Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
AIROLAM,Airo Lam limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
AJANTPHARM,Ajanta Pharma Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
AJAXENGG,Ajax Engineering Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
AJMERA,Ajmera Realty & Infra India Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
AJOONI,Ajooni Biotech Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
AKASH,Akash Infra-Projects Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
AKCAPIT,AK Capital Services Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
AKG,Akg Exim Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
AKI,AKI India Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
AKSHAR,Akshar Spintex Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
AKSHARCHEM,AksharChem India Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
AKSHOPTFBR,Aksh Optifibre Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
AKUMS,Akums Drugs and Pharmaceuticals Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
ALANKIT,Alankit Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
ALBERTDAVD,Albert David Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
ALEMBICLTD,Alembic Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
ALGOQUANT,Algoquant Fintech Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
ALICON,Alicon Castalloy Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
ALIVUS,Alivus Life Sciences Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
ALKALI,Alkali Metals Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
ALKEM,Alkem Laboratories Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
ALKYLAMINE,Alkyl Amines Chemicals Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
ALLCARGO,Allcargo Logistics Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
ALLDIGI,Alldigi Tech Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
ALLTIME,All Time Plastics Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
ALMONDZ,Almondz Global Securities Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
ALOKINDS,Alok Industries Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
ALPA,Alpa Laboratories Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
ALPHAGEO,Alphageo (India) Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
AMAGI,Amagi Media Labs Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
AMANTA,Amanta Healthcare Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
AMBALALSA,Ambalal Sarabhai Enterprises Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
AMBER,Amber Enterprises India Limited,symbol_stoplist,drop_bare_symbol_alias,Common English word 'amber' triggers case-insensitive false matches in news,N,N,Y
AMBICAAGAR,Ambica Agarbathies & Aroma industries Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
AMBIKCO,Ambika Cotton Mills Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
AMBUJACEM,Ambuja Cements Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
AMDIND,AMD Industries Limited,symbol_stoplist,drop_bare_symbol_alias,Common English word 'amdind' triggers case-insensitive false matches in news,N,N,Y
AMIRCHAND,Amir Chand Jagdish Kumar (Exports) Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
AMJLAND,Amj Land Holdings Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
AMNPLST,Amines & Plasticizers Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
AMRUTANJAN,Amrutanjan Health Care Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
ANANDRATHI,Anand Rathi Wealth Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
ANANTRAJ,Anant Raj Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
ANDHRAPAP,ANDHRA PAPER LIMITED,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
ANDHRSUGAR,The Andhra Sugars Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
ANGELONE,Angel One Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
ANIKINDS,Anik Industries Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
ANKITMETAL,Ankit Metal & Power Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
ANMOL,Anmol India Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
ANSALAPI,Ansal Properties & Infrastructure Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
ANTELOPUS,Antelopus Selan Energy Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
ANTGRAPHIC,Antarctica Limited,symbol_stoplist,drop_bare_symbol_alias,Common English word 'antgraphic' triggers case-insensitive false matches in news,N,N,Y
ANTHEM,Anthem Biosciences Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
ANUHPHR,Anuh Pharma Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
ANUP,The Anup Engineering Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
ANURAS,Anupam Rasayan India Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
APARINDS,Apar Industries Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
APCL,Anjani Portland Cement Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
APCOTEXIND,Apcotex Industries Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
APEX,Apex Frozen Foods Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
APLAPOLLO,APL Apollo Tubes Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
APLLTD,Alembic Pharmaceuticals Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
APOLLO,Apollo Micro Systems Limited,symbol_stoplist,drop_bare_symbol_alias,Common name matching Greek god; space missions; and multiple distinct listed entities,N,N,Y
APOLLOHOSP,Apollo Hospitals Enterprise Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
APOLLOPIPE,Apollo Pipes Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
APOLLOTYRE,Apollo Tyres Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
APOLSINHOT,Apollo Sindoori Hotels Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
APTECHT,Aptech Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
APTUS,Aptus Value Housing Finance India Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
AQYLON,Aqylon Nexus Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
ARCHIDPLY,Archidply Industries Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
ARCHIES,Archies Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
ARE&M,Amara Raja Energy & Mobility Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
ARENTERP,Rajdarshan Industries Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
ARFIN,Arfin India Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
ARIES,Aries Agro Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
ARIHANT,Arihant Foundations & Housing Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
ARIHANTCAP,Arihant Capital Markets Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
ARIHANTSUP,Arihant Superstructures Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
ARIS,Arisinfra Solutions Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
ARKADE,Arkade Developers Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
ARMANFIN,Arman Financial Services Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
AROGRANITE,Aro Granite Industries Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
ARROWGREEN,Arrow Greentech Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
ARSHIYA,Arshiya Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
ARSSBL,Anand Rathi Share and Stock Brokers Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
ARTEMISMED,Artemis Medicare Services Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
ARTNIRMAN,Art Nirman Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
ARVEE,Arvee Laboratories (India) Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
ARVIND,Arvind Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
ARVINDFASN,Arvind Fashions Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
ARVSMART,Arvind SmartSpaces Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
ASAHIINDIA,Asahi India Glass Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
ASAHISONG,Asahi Songwon Colors Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
ASAL,Automotive Stampings and Assemblies Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
ASALCBR,Associated Alcohols & Breweries Ltd.,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
ASHAPURMIN,Ashapura Minechem Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
ASHIANA,Ashiana Housing Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
ASHIKA,Ashika Credit Capital Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
ASHIMASYN,Ashima Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
ASHOKA,Ashoka Buildcon Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
ASHOKAMET,Ashoka Metcast Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
ASHOKLEY,Ashok Leyland Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
ASIANENE,Asian Energy Services Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
ASIANHOTNR,Asian Hotels (North) Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
ASIANPAINT,Asian Paints Limited,denylist_context,add_denylist_context,Requires runtime context words to tag: Limited; NSE; BSE; results; paint; shares; ₹; Q1; Q2; Q3; Q4,N,N,Y
ASIANTILES,Asian Granito India Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
ASKAUTOLTD,ASK Automotive Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
ASMS,Bartronics India Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
ASPINWALL,Aspinwall and Company Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
ASTAR,Asian Star Company Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
ASTEC,Astec LifeSciences Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
ASTERDM,Aster DM Healthcare Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
ASTRAL,Astral Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
ASTRAMICRO,Astra Microwave Products Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
ASTRAZEN,AstraZeneca Pharma India Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
ASTRON,Astron Paper & Board Mill Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
ATALREAL,Atal Realtech Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
ATAM,Atam Valves Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
ATGL,Adani Total Gas Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
ATHERENERG,Ather Energy Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
ATL,Allcargo Terminals Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
ATLANTAA,ATLANTAA LIMITED,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
ATLANTAELE,Atlanta Electricals Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
ATLASCYCLE,Atlas Cycles (Haryana) Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
ATUL,Atul Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
ATULAUTO,Atul Auto Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
AUBANK,AU Small Finance Bank Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
AURIGROW,Auri Grow India Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
AURIONPRO,Aurionpro Solutions Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
AUROPHARMA,Aurobindo Pharma Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
AURUM,Aurum PropTech Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
AUSOMENT,Ausom Enterprise Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
AUTOAXLES,Automotive Axles Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
AUTOIND,Autoline Industries Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
AVADHSUGAR,Avadh Sugar & Energy Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
AVAILFC,Available Finance Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
AVALON,Avalon Technologies Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
AVANTEL,Avantel Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
AVANTIFEED,Avanti Feeds Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
AVG,AVG Logistics Limited,symbol_stoplist,drop_bare_symbol_alias,Common English word 'avg' triggers case-insensitive false matches in news,N,N,Y
AVL,Aditya Vision Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
AVONMORE,Avonmore Capital & Management Services Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
AVROIND,AVRO INDIA LIMITED,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
AVTNPL,AVT Natural Products Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
AWFIS,Awfis Space Solutions Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
AWHCL,Antony Waste Handling Cell Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
AWL,AWL Agri Business Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
AXISBANK,Axis Bank Limited,symbol_stoplist,drop_bare_symbol_alias,Common English word 'axisbank' triggers case-insensitive false matches in news,N,N,Y
AXISCADES,AXISCADES Technologies Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
AXITA,Axita Cotton Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
AYE,Aye Finance Limited,symbol_stoplist,drop_bare_symbol_alias,Common English word 'aye' triggers case-insensitive false matches in news,N,N,Y
AYMSYNTEX,AYM Syntex Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
AZAD,Azad Engineering Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
BAFNAPH,Bafna Pharmaceuticals Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
BAGFILMS,B.A.G Films and Media Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
BAIDFIN,Baid Finserv Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
BAJAJ-AUTO,Bajaj Auto Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
BAJAJCON,Bajaj Consumer Care Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
BAJAJELEC,Bajaj Electricals Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
BAJAJFINSV,Bajaj Finserv Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
BAJAJHCARE,Bajaj Healthcare Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
BAJAJHFL,Bajaj Housing Finance Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
BAJAJHIND,Bajaj Hindusthan Sugar Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
BAJAJHLDNG,Bajaj Holdings & Investment Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
BAJAJINDEF,Indef Manufacturing Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
BAJAJST,Bajaj Steel Industries Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
BAJEL,Bajel Projects Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
BAJFINANCE,Bajaj Finance Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
