"Date ","Symbol ","Security Name ","Client Name ","Buy / Sell ","Quantity Traded ","Trade Price / Wght. Avg. Price ","Remarks "
"15-MAY-2026","NAZARA","Nazara Technologies Ltd","MICROCURVES TRADING PRIVATE LIMITED","SELL","21,59,417","297.74","-"
"15-MAY-2026","NAZARA","Nazara Technologies Ltd","MITTER INFOTECH LLP","SELL","42,00,000","266.00","-"
"15-MAY-2026","NAZARA","Nazara Technologies Ltd","SHARE INDIA SECURITIES LIMITED","SELL","23,07,861","291.07","-"
"15-MAY-2026","NAZARA","Nazara Technologies Ltd","SHARE INDIA SECURITIES LIMITED","BUY","23,12,886","296.66","-"
"15-MAY-2026","NAZARA","Nazara Technologies Ltd","ZERODHA BROKING LIMITED","BUY","35,00,001","265.85","-"
"15-MAY-2026","PRICOLLTD","Pricol Limited","NK SECURITIES RESEARCH PRIVATE LIMITED","SELL","6,69,420","628.73","-"
"15-MAY-2026","PRICOLLTD","Pricol Limited","NK SECURITIES RESEARCH PRIVATE LIMITED","BUY","6,69,420","628.47","-"
"15-MAY-2026","SAIFL","Sameera Agro And Infra L","BATTULA MADHAVI","SELL","6,00,000","7.19","-"
"15-MAY-2026","SAIFL","Sameera Agro And Infra L","SATYA MURTHY SIVALENKA","SELL","3,68,000","7.19","-"
"15-MAY-2026","SAKAR","Sakar Healthcare Limited","STELLAR WEALTH PARTNERS INDIA FUND I LP","BUY","1,95,000","664.58","-"
"15-MAY-2026","SAREGAMA","Saregama India Ltd.","BLITZQUANT RESEARCH LLP","SELL","11,65,407","425.59","-"
"15-MAY-2026","SAREGAMA","Saregama India Ltd.","BLITZQUANT RESEARCH LLP","BUY","11,65,407","425.40","-"
"15-MAY-2026","SAREGAMA","Saregama India Ltd.","DIPAN MEHTA COMMODITIES PRIVATE LIMITED","SELL","11,01,990","423.98","-"
"15-MAY-2026","SAREGAMA","Saregama India Ltd.","DIPAN MEHTA COMMODITIES PRIVATE LIMITED","BUY","11,20,686","423.29","-"
"15-MAY-2026","SAREGAMA","Saregama India Ltd.","ELIXIR WEALTH MANAGEMENT PRIVATE LIMITED","SELL","22,52,361","424.98","-"
"15-MAY-2026","SAREGAMA","Saregama India Ltd.","ELIXIR WEALTH MANAGEMENT PRIVATE LIMITED","BUY","22,71,963","424.42","-"
"15-MAY-2026","SAREGAMA","Saregama India Ltd.","IRAGE BROKING SERVICES LLP","SELL","26,89,547","423.76","-"
"15-MAY-2026","SAREGAMA","Saregama India Ltd.","IRAGE BROKING SERVICES LLP","BUY","27,38,409","422.47","-"
"15-MAY-2026","SAREGAMA","Saregama India Ltd.","JUMP TRADING FINANCIAL INDIA PRIVATE LIMITED","BUY","14,03,437","425.26","-"
"15-MAY-2026","SAREGAMA","Saregama India Ltd.","JUMP TRADING FINANCIAL INDIA PRIVATE LIMITED","SELL","14,03,437","426.10","-"
"15-MAY-2026","SAREGAMA","Saregama India Ltd.","JUNOMONETA FINSOL PRIVATE LIMITED","BUY","19,64,030","421.63","-"
"15-MAY-2026","SAREGAMA","Saregama India Ltd.","JUNOMONETA FINSOL PRIVATE LIMITED","SELL","19,68,217","422.03","-"
"15-MAY-2026","SAREGAMA","Saregama India Ltd.","MICROCURVES TRADING PRIVATE LIMITED","SELL","69,17,031","424.50","-"
"15-MAY-2026","SAREGAMA","Saregama India Ltd.","MICROCURVES TRADING PRIVATE LIMITED","BUY","69,17,031","424.25","-"
"15-MAY-2026","SAREGAMA","Saregama India Ltd.","NK SECURITIES RESEARCH PRIVATE LIMITED","SELL","37,85,977","422.47","-"
"15-MAY-2026","SAREGAMA","Saregama India Ltd.","NK SECURITIES RESEARCH PRIVATE LIMITED","BUY","37,85,977","422.29","-"
"15-MAY-2026","SAREGAMA","Saregama India Ltd.","PUMA SECURITIES","SELL","14,38,895","427.03","-"
"15-MAY-2026","SAREGAMA","Saregama India Ltd.","PUMA SECURITIES","BUY","14,38,895","426.70","-"
"15-MAY-2026","SAREGAMA","Saregama India Ltd.","QE SECURITIES LLP","BUY","27,59,545","421.38","-"
"15-MAY-2026","SAREGAMA","Saregama India Ltd.","QE SECURITIES LLP","SELL","27,84,001","419.92","-"
"15-MAY-2026","SAVY","Savy Infra and Logi Ltd","NIRAJ RAJNIKANT SHAH","BUY","1,39,200","139.92","-"
"15-MAY-2026","SAVY","Savy Infra and Logi Ltd","SAUMIK KETANKUMAR DOSHI","SELL","1,05,600","139.93","-"
"15-MAY-2026","SHANKARA","Shankara Bldg Product Ltd","DEVARAJULU SATHYAMOORTHI","SELL","1,75,000","115.67","-"
"15-MAY-2026","SILGO","Silgo Retail Limited","GOLDENDUNES BUILDERS AND DEVELOPERS PRIVATE LIMITED","SELL","3,03,000","73.50","-"
"15-MAY-2026","SILGO","Silgo Retail Limited","POOJA VITHALDAS PUJARA","BUY","1,68,171","73.68","-"
"15-MAY-2026","SIMCA","Simca Advertising Limited","LONGTHRIVE CAPITAL VCC - TRENDVIEW CAPITAL FUND","BUY","93,000","153.23","-"
"15-MAY-2026","SIMCA","Simca Advertising Limited","MUNI GULAMABBAS MOHAMMEDALI","BUY","1,21,800","154.55","-"
"15-MAY-2026","SIMCA","Simca Advertising Limited","SHRENI SHARES PVT","BUY","1,99,800","156.00","-"
"15-MAY-2026","SIMCA","Simca Advertising Limited","SMITAL SURESH THAKKAR","BUY","1,00,800","158.82","-"
